,Date,Close,Volume
0,2018-01-02,12871.3896484375,86049300
1,2018-01-03,12978.2099609375,84809300
2,2018-01-04,13167.8896484375,101199400
3,2018-01-05,13319.6396484375,112555000
4,2018-01-08,13367.7802734375,95005300
5,2018-01-09,13385.58984375,94770400
6,2018-01-10,13281.33984375,120334900
7,2018-01-11,13202.900390625,110577300
8,2018-01-12,13245.0302734375,87893300
9,2018-01-15,13200.509765625,58326200
10,2018-01-16,13246.330078125,85801600
11,2018-01-17,13183.9599609375,88144100
12,2018-01-18,13281.4296875,89644100
13,2018-01-19,13434.4501953125,108147200
14,2018-01-22,13463.6904296875,95295700
15,2018-01-23,13559.599609375,97239000
16,2018-01-24,13414.740234375,105385100
17,2018-01-25,13298.3603515625,106119200
18,2018-01-26,13340.169921875,75829200
19,2018-01-29,13324.48046875,78822500
20,2018-01-30,13197.7099609375,115152700
21,2018-01-31,13189.48046875,111852500
22,2018-02-01,13003.900390625,122880100
23,2018-02-02,12785.16015625,140869300
24,2018-02-05,12687.490234375,113937900
25,2018-02-06,12392.66015625,204856800
26,2018-02-07,12590.4296875,153471100
27,2018-02-08,12260.2900390625,153991900
28,2018-02-09,12107.48046875,175812900
29,2018-02-12,12282.76953125,120024900
30,2018-02-13,12196.5,94601100
31,2018-02-14,12339.16015625,130713000
32,2018-02-15,12346.169921875,111934900
33,2018-02-16,12451.9599609375,104230500
34,2018-02-19,12385.599609375,66917000
35,2018-02-20,12487.900390625,87127600
36,2018-02-21,12470.490234375,83382600
37,2018-02-22,12461.91015625,104173000
38,2018-02-23,12483.7900390625,97926500
39,2018-02-26,12527.0400390625,78303000
40,2018-02-27,12490.73046875,89864600
41,2018-02-28,12435.849609375,93391300
42,2018-03-01,12190.9404296875,113680600
43,2018-03-02,11913.7099609375,120480800
44,2018-03-05,12090.8701171875,109920600
45,2018-03-06,12113.8701171875,104517000
46,2018-03-07,12245.3603515625,92920300
47,2018-03-08,12355.5703125,97759800
48,2018-03-09,12346.6796875,96109700
49,2018-03-12,12418.3896484375,136801400
50,2018-03-13,12221.0302734375,131887900
51,2018-03-14,12237.740234375,104202200
52,2018-03-15,12345.5595703125,106658200
53,2018-03-16,12389.580078125,212840100
54,2018-03-19,12217.01953125,97309700
55,2018-03-20,12307.330078125,72907500
56,2018-03-21,12309.150390625,108917200
57,2018-03-22,12100.080078125,138428600
58,2018-03-23,11886.3095703125,145617800
59,2018-03-26,11787.259765625,99857900
60,2018-03-27,11970.830078125,98677800
61,2018-03-28,11940.7099609375,113396700
62,2018-03-29,12096.73046875,111589200
63,2018-04-03,12002.4501953125,95226700
64,2018-04-04,11957.900390625,107305000
65,2018-04-05,12305.1904296875,109092300
66,2018-04-06,12241.26953125,87009100
67,2018-04-09,12261.75,77287300
